//bot configuration: name	model	skin	shirt	pants	team	keyboard use	moving	dodging	ping	weapon use	aggressivity	range	aiming	calmhand	mouse	fightthink	aithink
//default team values (team-override): 1 = red, 2 = blue, 3 = yellow, 4 = pink																	
//use -1 for shirt-color or pants-color to get random colors																	
Hellfire	nexus	0	4	0	0	0	0	-0.5	-1	1	1	-0.5	-1	-1	2	0.5	-1
Toxic	nexus	1	14	7	0	-1	-1.5	-0.5	0	1	0	0	0	2	-0.5	-0.5	1
Discovery	nexus	0	2	6	0	0	-1	-0.5	-0.5	1	-0.5	0.5	1.5	-0.5	-1	1	0.5
Pegasus	nexus	0	13	11	0	1	1	1	1	-1	0	0.5	0	-2	0	-1	0
Eureka	nexus	0	12	7	0	0	0	-1.5	-0.5	-0.5	0	0	0	0	-0.5	1.5	1.5
Airhead	nexus	0	11	1	0	-1	-1.5	-1	-0.5	1	1	-1	1	-0.5	1	0.5	0
Gator	nexus	0	3	10	0	0	1	0	0.5	-0.5	0.5	-0.5	-1	0	0	-0.5	0
Delirium	nexus	1	8	12	0	0	-1	-1	-1	0	2	0	1	0	2	-1	-1
Death	nexus	0	4	11	0	-0.5	0	0	1	-0.5	0	1	0	0	0	0	0
Scorcher	nexus	0	13	13	0	0	-1	0	-0.5	0.5	1	0	1	-2	1	0	0
Necrotic	nexus	0	12	14	0	0	0	0	1	0	-1	-0.5	-1	1	0	0	0
Dominator	nexus	1	3	9	0	0	0	0	2	-1	0	0	0	-1	0	0	0
Thunderstorm	nexus	2	13	6	0	0	0	0	-0.5	-1	1	0.5	0.5	-0.5	0	0.5	0
Mystery	nexus	0	9	14	0	1	1	1	1	-1	-1	0	1	1	-2	-1	-1
Lion	nexus	0	0	4	0	1	1.5	2	-1	-1	-1	1	0	1	-0.5	-1	-1
Sensible	nexus	0	9	9	0	0	0	0.5	-1	0	-1	0	-1	2.5	-1.5	1	0.5
Shadow	nexus	0	4	8	0	-0.5	2	1	0	0	-1	0	-1	0	1	-1	-0.5
Resurrection	nexus	0	1	1	0	0	-0.5	-0.5	0	2	-1	-1	-1	0	-1	1	1
